Name;Description;Updated;Delete
Korrektur-Storno-fo.vm;;30.09.2020 20:16;Ja
Kosten-mit-PKW-fo.vm;;04.09.2020 12:58;Ja
V-nxt_abschlussbericht-fo.vm;"V3.0: Code bereinigt und Banner ohne ""40 Jahre AS""";14.02.2025 19:34;Ja
V-nxt_acceptation-confirmation-fo.vm;Auftragsbestätigung;14.02.2025 19:45;Ja
V-nxt_auftrag-common-elements-fo.vm;"V3.0: bereinigt und Banner ohne ""40 Jahre AS""";25.02.2025 13:00;Ja
V-nxt_initial-confirmation-fo.vm;Empfangsbestätigung des Auftrags;14.02.2025 19:47;Ja
V-nxt_rechnung-common-elements-fo.vm;"V3.0: bereinigt und Banner ohne ""40 Jahre AS""";14.02.2025 19:40;Ja
V-nxt_rechnung-in-issue-fo.vm;Rechnungserstellung;14.02.2025 19:48;Ja
V-nxt_rechnung-storno-in-issue-with-current-rechnung-fo.vm;Stornierung Rechnung;14.02.2025 19:50;Ja
V1_abschlussbericht-fo.vm;;21.01.2022 13:32;Ja
V1_acceptation-confirmation-fo.vm;;21.01.2022 13:28;Ja
V1_auftrag-common-elements-fo.vm;;21.01.2022 13:25;Ja
V1_initial-confirmation-fo.vm;;21.01.2022 13:34;Ja
V1_rechnung-common-elements-fo.vm;;21.01.2022 13:36;Ja
V1_rechnung-in-issue-fo.vm;;21.01.2022 13:37;Ja
V1_rechnung-storno-in-issue-with-current-rechnung-fo.vm;;21.01.2022 13:39;Ja
V2-4_abschlussbericht-fo.vm;Abschlussbericht V2.4 (40 Jahre AS);14.02.2025 12:09;Ja
V2-4_acceptation-confirmation-fo.vm;Auftragsbestätigung : V2.4 (40 Jahre AS);14.02.2025 18:08;Ja
V2-4_auftrag-common-elements-fo.vm;auftrag-common-elements V2.4 Here we define the common elements in all the PDFs generated by an Auftrag (Footer, logo, linked issues....) to just include this file in each template;03.02.2025 17:49;Ja
V2-4_nitial-confirmation-fo.vm;Empfangsbestätigung für Auftrag : V2.4 (40 Jahre AS);14.02.2025 18:13;Ja
V2-4_rechnung-common-elements-fo.vm;rechnung-common-elements V2.4 (40 Jahre AS);14.02.2025 18:15;Ja
V2-4_rechnung-in-issue-fo.vm;Rechnungserstellung: V2.4 (40 Jahre AS);14.02.2025 18:19;Ja
V2-4_rechnung-storno-in-issue-with-current-rechnung-fo.vm;Stornierung Rechnung: V2.4 (40 Jahre AS);14.02.2025 18:20;Ja
V2.1-rechnung-in-issue-fo.vm;;30.01.2023 15:46;Ja
V2.1-rechnung-storno-in-issue-with-current-rechnung-fo.vm;;30.01.2023 15:36;Ja
V2_initial-confirmation-fo.vm;Empfangsbestätigung für Auftrag;16.09.2022 12:24;Ja
abschlussbericht-fo.vm;Abschlussbericht V2.4 (ohne 40 Jahre AS);24.04.2026 19:56;Ja
acceptation-confirmation-fo.vm;Auftragsbestätigung : V2.4;02.05.2026 20:09;Ja
articles-tool.groovy;Wird zur Formatierung der Preise benötigt.;14.06.2026 15:04;Ja
auftrag-common-elements-fo.vm;Restart;02.05.2026 20:09;Ja
final-confirmation-fo.vm;;24.10.2019 11:30;Ja
fop-config.xml;Low-level configuration file for FOP, the PDF renderer technology used by the plugin. See this page for details.;29.03.2020 08:56;Ja
gliffy-tool.groovy;Gliffy tool used by the templates that connect to Gliffy to download diagram images.;29.03.2020 08:57;Ja
initial-confirmation-fo.vm;"Empfangsbestätigung für Auftrag : V2.4 (Beratungsfälle; Adressanpassung)";14.04.2026 17:59;Ja
insight-tool.groovy;Insight tool used by the templates that connect to Insight to download object (asset) data.;29.03.2020 08:56;Ja
issue-fo.vm;Exports the issues into a PDF that visually reminds of JIRA's default styling. It includes all field values, time tracking, issue links, attachments, image thumbnails, comments, worklogs and change history. It also enables embedding the issue attachments within the PDF document, to distribute your issues together with their file attachments, as a single self-containing package. Or, use this as a great starting point for customization (like hiding fields) or for developing totally new templates.;02.11.2018 16:12;Ja
issue-navigator-fo.vm;Landscape-oriented issue list template. It uses the filter's own column layout: when you show, hide or move columns around in JIRA, those will appear, disappear or move also in your PDFs. Check the template code if you need dynamically configurable fields in your exports.;29.03.2020 08:55;Ja
issue-navigator-tool.groovy;Used by issue-navigator-fo.vm.;29.03.2020 08:52;Ja
nfeed-tool.groovy;nFeed tool used by the templates that connect to nFeed to access data from external/internal sources.;29.03.2020 08:52;Ja
rechnung-common-elements-fo.vm;rechnung-common-elements V2.4;02.05.2026 19:50;Ja
rechnung-fo.vm;;10.03.2020 16:23;Ja
rechnung-in-issue-fo.vm;Rechnungserstellung: V2.5;03.05.2026 18:21;Ja
rechnung-storno-in-issue-with-current-rechnung-fo.vm;Stornierung Rechnung: V2.4;02.11.2025 15:45;Ja
reference-manual-fo.vm;Wird möglicherweise noch verwendet. Expressions Reference Manual is the complete reference of the expressions to be used in the PDF templates. Use this both as a cheatsheet (just copy the references to your template!) and as a live test environment (modify and export this template).;14.06.2026 16:27;Ja
release-notes-fo.vm;Release Notes document template, with customizable content and branding. Advantages over the default Release Notes generated by JIRA: you can precisely specify what fields to include, you can include additional content like installation instructions and pricing information, you can use company branding (logos, colors), etc. This is an easy and powerful way to get your complete software version documentation out of JIRA.;20.04.2018 12:38;Ja
requirements-specification-fo.vm;Template to export JIRA issues into SRS documents (Software Requirement Specification), based on IEEE standard 830-1998. Enables fast external validation of a set of requirements, easy distribution of requirement baselines, or generating your final SRS documents. Even if it may not fully meet the needs of your SRS style, it's a great starting point for customization. (It features a book-like Table of Contents and PDF bookmarks, too.) It uses requirements-specification.groovy.;20.04.2018 12:38;Ja
requirements-specification.groovy;Used by requirements-specification-fo.vm.;20.04.2018 12:38;Ja
sales-report-fo.vm;General report template that also exports custom charts generated from JIRA data to PDF documents. Although the default reporting domain is sales data, it can be totally reconfigured to calculate and display any type of Performance Metrics. It uses sales-report.groovy and charts.groovy.;20.04.2018 12:38;Ja
sales-report.groovy;Used by sales-report-fo.vm.;20.04.2018 12:38;Ja
service-desk-tool.groovy;JIRA Service Desk tool used by the templates that connect to JIRA Service Desk to download ticket data.;20.04.2018 12:38;Ja
storno-korrektur-mit-manueller-rechnungsnummer-fo.vm;;02.11.2025 15:45;Ja
story-card-fo.vm;Template to export physical story cards from JIRA issues, for Scrum and Kanban teams. It can be used with or without JIRA Agile (previously known as GreenHopper).;20.04.2018 12:38;Ja
tempo-tool.groovy;Tempo tool used by the templates that connect to Tempo to download worklog data.;20.04.2018 12:38;Ja
timesheet-fo.vm;Exports timesheets and time-based invoices from JIRA or Tempo worklogs. It calculates time and amount (money) subtotals and grand totals for the whole issue list. It can optionally filter non-billable worklogs, and get customer information from Tempo. If you run time and material based projects, turn JIRA into a powerful invoicing system with this template.;12.09.2018 14:55;Ja
traceability-matrix-fo.vm;Renders a 2D matrix with two sets of issues, and uses the cells to visualize relations (ex: directed dependencies) between the issues. Traceability matrixes are used to match parts of high-level design, detailed design, test plan, and test cases in Requirements Management and Test Management. It uses traceability-matrix.groovy.;20.04.2018 12:38;Ja
traceability-matrix.groovy;Used by traceability-matrix-fo.vm.;20.04.2018 12:38;Ja
x-abschlussbericht-OLD-fo.vm;;24.06.2020 09:11;Ja
x-acceptation-confirmation-OLD-fo.vm;;24.06.2020 09:11;Ja
x-acceptation-confirmation-fo_OLD.vm;;23.08.2020 09:06;Ja
x-burn-down-chart-fo.vm;Agile report template that dispays the Burn Down Chart, the Velocity Trend Chart, ideal-, actual- and required performance for a sprint. It can be used with or without JIRA Agile (previously known as GreenHopper). It uses burn-down-chart.groovy.;24.06.2020 09:14;Ja
x-burn-down-chart.groovy;Used by burn-down-chart-fo.vm.;24.06.2020 09:14;Ja
x-charts.groovy;Charting tool used by the templates that render charts to visualize data.;24.06.2020 09:15;Ja
x-dashboard-details-fo.vm;Template to export the ID and other details of a dashboard and its gadgets, for PDF template development purposes.;24.06.2020 09:15;Ja
x-dashboard-fo.vm;Template to export JIRA dashboards and gadgets to PDF. Read the dashboards tutorial.;18.09.2020 12:44;Ja
x-dispatch-fo.vm;Typical sample for a so-called dispatcher template. A dispatcher can delegate to multiple concrete templates, based on a condition. This sample shows selecting a final template based on project key. Look at this for intelligent template selections by projects, issue types, field values or such. Read this section for details.;18.09.2020 12:44;Ja
x-gantt-chart-fo.vm;Visualizes project schedules by displaying issues as horizontal bars, along with their start and end-dates. Gantt charts are efficient data representation tools in practical project management. It uses gantt-chart.groovy.;18.09.2020 12:45;Ja
x-gantt-chart.groovy;Used by gantt-chart-fo.vm.;18.09.2020 12:45;Ja
x-hello-charts-fo.vm;Template to demonstrate the basics of chart rendering (line, pie and bar charts) in PDF templates. Read the charting tutorial. It uses hello-charts.groovy and charts.groovy.;18.09.2020 12:43;Ja
x-hello-charts.groovy;Used by hello-charts-fo.vm.;18.09.2020 12:43;Ja
x-hello-world-fo.vm;Template to demonstrate the basics of scripting for templates. Read the scripting tutorial. It uses hello-world.groovy.;18.09.2020 12:43;Ja
x-hello-world.groovy;Used by hello-world-fo.vm.;18.09.2020 12:44;Ja
x-initial-confirmation-OLD-01-fo.vm;;23.08.2020 09:07;Ja
x-initial-confirmation-OLD-02-fo.vm;;23.08.2020 09:07;Ja
